Phone_Name,Phone_Price
"Samsung Galaxy A70 (Black, 128 GB)","₹30,900"
"Samsung Galaxy A70 (White, 128 GB)","₹28,990"
"Samsung Galaxy A20 (Red, 32 GB)","₹13,099"
"Samsung Galaxy A20 (Black, 32 GB)","₹11,490"
"Samsung Galaxy A20 (Deep Blue, 32 GB)","₹11,490"
"Samsung Galaxy M30 (Gradation Blue, 128 GB)","₹18,990"
"Samsung Galaxy A10 (Black, 32 GB)","₹7,990"
"Samsung Galaxy A10 (Red, 32 GB)","₹8,700"
"Samsung Galaxy A10 (Blue, 32 GB)","₹7,990"
"Samsung Galaxy A50 (Blue, 64 GB)","₹15,499"
"Samsung Galaxy A50 (White, 64 GB)","₹18,999"
"Samsung Galaxy A30 (Red, 64 GB)","₹18,000"
"Samsung Galaxy A30 (Black, 64 GB)","₹17,500"
"Samsung Galaxy A30 (Blue, 64 GB)","₹18,000"
"Samsung Galaxy A50 (Blue, 64 GB)","₹18,999"
"Samsung Galaxy A50 (Black, 64 GB)","₹24,000"
"Samsung Galaxy M20 (Charcoal Black, 32 GB)","₹11,447"
"Samsung Galaxy Note 8 (Orchid Grey, 64 GB)","₹70,000"
"Samsung Galaxy S10e (Prism White, 128 GB)","₹58,000"
"Samsung Galaxy S10 Plus (Ceramic White, 1 TB)","₹1,17,990"
"Samsung Galaxy S10e (Prism Black, 128 GB)","₹59,000"
"Samsung Galaxy S10 Plus (Ceramic Black, 512 GB)","₹73,800"
"Samsung Galaxy S10 Plus (Prism Black, 128 GB)","₹73,900"
"Samsung Galaxy S10 (Prism White, 512 GB)","₹63,400"
"Samsung Galaxy S10 (Prism Blue, 128 GB)","₹57,800"
"Samsung Galaxy S10 Plus (Prism Blue, 128 GB)","₹75,900"
"Samsung Galaxy A51 (Prism Crush White, 128 GB)","₹26,999"
"Samsung Galaxy S10 Plus (Prism White, 128 GB)","₹59,900"
"Samsung Galaxy S10 (Prism Black, 128 GB)","₹50,999"
"Samsung Galaxy Note 9 (Alpine White, 128 GB)","₹73,600"
"Samsung Galaxy A7 (Blue, 64 GB)","₹17,990"
"Samsung Galaxy J4 Plus (Gold, 32 GB)","₹9,499"
"Samsung Galaxy J6 Plus (Black, 64 GB)","₹14,000"
"Samsung Galaxy J6 Plus (Red, 64 GB)","₹13,600"
"Samsung Galaxy J6 Plus (Blue, 64 GB)","₹13,600"
"Samsung Galaxy A8 Star (White, 64 GB)","₹34,999"
"Samsung Galaxy A8 Star (Black, 64 GB)","₹34,999"
"Samsung Galaxy J2 Core (Gold, 8 GB)","₹6,190"
"Samsung Galaxy J2 Core (Black, 8 GB)","₹6,200"
"Samsung Galaxy J2 Core (Blue, 8 GB)","₹6,190"
"Samsung Galaxy A8 Plus (Gold, 64 GB)","₹29,990"
"Samsung Galaxy Note 9 (Midnight Black, 512 GB)","₹84,900"
"Samsung Galaxy Note 9 (Ocean Blue, 512 GB)","₹93,000"
"Samsung Galaxy Note 9 (Ocean Blue, 128 GB)","₹67,900"
"Samsung Galaxy Note 9 (Metallic Copper, 128 GB)","₹73,600"
"Samsung Galaxy Note 9 (Midnight Black, 128 GB)","₹67,900"
"Samsung Galaxy A6 (Black, 64 GB)","₹16,990"
"Samsung Galaxy A6 (Gold, 64 GB)","₹25,500"
"Samsung Galaxy A6 (Blue, 64 GB)","₹16,990"
"Samsung Galaxy A6+ (Blue, 64 GB)","₹25,600"
"Samsung Galaxy A6+ (Black, 64 GB)","₹21,990"
"Samsung Galaxy A6+ (Gold, 64 GB)","₹21,990"
"Samsung Galaxy J8 (Blue, 64 GB)","₹18,990"
"Samsung Galaxy J8 (Gold, 64 GB)","₹19,500"
"Samsung Galaxy J8 (Black, 64 GB)","₹19,500"
"Samsung Galaxy On6 (Blue, 64 GB)","₹17,600"
"Samsung Galaxy J4 (Black, 32 GB)","₹10,990"
"Samsung Galaxy J4 (Gold, 32 GB)","₹10,990"
"Samsung Galaxy J4 (Blue, 32 GB)","₹13,023"
